null,resp_time,location,number
3,2013-03-24 09:49:50,,
"43.70493909,-72.28852976",2013-03-24 10:53:25,,
2,2013-03-24 10:48:59,,
,2013-03-31 06:42:18,"43.70524858,-72.29046327",4.0
3,2013-03-24 10:48:57,,
3,2013-03-24 10:48:55,,
"43.70633265,-72.28802504",2013-03-24 10:53:27,,
"43.70493905,-72.28852958",2013-03-24 10:53:23,,
"43.70655968,-72.28710482",2013-03-24 10:53:29,,
3,2013-03-24 10:49:00,,
,2013-03-29 06:52:53,"43.67055143,-72.31802098",4.0
,2013-03-29 09:12:25,"43.70633345,-72.29084334",4.0
,2013-03-28 01:07:50,"43.70590151,-72.29089607",4.0
,2013-03-29 18:00:57,"43.70633345,-72.29084334",3.0
,2013-03-30 19:31:59,"43.70617004,-72.29083553",4.0
,2013-03-31 10:56:06,"43.70524858,-72.29046327",6.0
,2013-03-30 09:39:22,"43.70588361,-72.29057766",3.0
,2013-04-02 21:12:13,"43.70677201,-72.29138349",3.0
,2013-04-01 08:47:21,"43.70631987,-72.29102945",5.0
,2013-04-02 01:30:52,"43.70550136,-72.29129217",3.0
,2013-04-03 21:35:17,"43.70609599,-72.28861366",4.0
,2013-04-04 19:40:47,"43.70613594,-72.29081044",5.0
,2013-04-04 04:48:38,"43.70609599,-72.28861366",4.0
,2013-04-06 20:02:40,"43.70620136,-72.29091932",5.0
,2013-04-05 04:20:02,"43.70659181,-72.2906454",4.0
,2013-04-07 09:40:05,"43.70379372,-72.29020154",4.0
,2013-04-08 08:37:08,"43.70628881,-72.29056354",4.0
,2013-04-12 20:52:25,"43.706227,-72.29104106",4.0
,2013-04-12 08:14:31,Unknown,4.0
,2013-04-14 20:35:39,"43.70617355,-72.29100552",4.0
,2013-04-11 20:02:28,"43.70595458,-72.2905622",4.0
,2013-04-13 20:58:34,"43.70619094,-72.29054811",5.0
,2013-04-18 02:01:48,Unknown,4.0
,2013-04-19 08:27:07,"43.7062649,-72.29090775",4.0
