null,resp_time,location,number
"43.70492028,-72.28847456",2013-03-24 10:44:47,,
1,2013-03-24 10:44:51,,
1,2013-03-24 10:44:51,,
1,2013-03-24 10:45:07,,
"43.70639976,-72.28712436",2013-03-24 09:52:31,,
"43.70427927,-72.28971705",2013-03-24 10:44:49,,
,2013-03-31 06:26:53,"43.7070176,-72.28908631666667",3.0
,2013-03-30 10:29:41,"43.7071139,-72.2889671",3.0
,2013-04-03 04:30:48,"43.7069401,-72.28877828333333",3.0
,2013-04-01 06:18:07,"43.707209383333335,-72.28884528333333",3.0
,2013-04-04 04:32:36,"43.706527333333334,-72.28934398333334",2.0
,2013-04-05 15:03:16,"43.70728103333333,-72.28899271666667",3.0
,2013-04-06 04:58:15,"43.702451116666666,-72.28956378333334",3.0
,2013-04-07 06:17:05,"43.707121433333334,-72.28947938333333",2.0
,2013-04-06 18:56:18,"43.70713576666667,-72.28891061666667",2.0
,2013-04-10 20:08:55,"43.7030312,-72.28956423333334",2.0
,2013-04-12 20:04:46,"43.70737126666667,-72.28852878333333",3.0
,2013-04-11 20:00:25,"43.7072184,-72.28903266666667",2.0
,2013-04-13 20:07:34,"43.70717081666667,-72.28903926666666",2.0
