location,number,resp_time,null
"43.70432872,-72.28591216",2.0,2013-04-03 07:55:30,
,,2013-03-24 10:37:49,"43.70413179,-72.28882107"
,,2013-03-24 10:37:47,5
,,2013-03-24 10:37:50,1
,,2013-03-24 10:37:45,Unknown
,,2013-03-24 10:37:46,"43.70525405,-72.28855733"
,,2013-03-24 10:43:08,3
Unknown,3.0,2013-03-27 23:02:28,
Unknown,3.0,2013-03-29 06:00:25,
Unknown,3.0,2013-03-29 05:55:31,
"43.70552246,-72.28315169",3.0,2013-04-04 19:04:41,
"43.7053909,-72.2831404",1.0,2013-04-08 06:22:57,
"43.70644022,-72.28264149",2.0,2013-04-11 21:04:46,
