location,number,resp_time
"43.70611586,-72.28345541",1,2013-03-27 23:54:46
"43.70738403,-72.28764595",2,2013-03-29 07:36:23
"43.70850694,-72.28242346",1,2013-03-31 06:05:58
"43.70622215,-72.28330781",3,2013-04-03 04:32:58
"43.70745402,-72.28325715",3,2013-04-04 04:08:31
"43.70660035,-72.28709394",2,2013-04-05 05:03:28
"43.70610012,-72.28338585",2,2013-04-06 04:10:22
"43.70583037,-72.28328387",3,2013-04-07 06:26:04
"43.70606612,-72.2831362",2,2013-04-08 07:14:56
"43.70736617,-72.28585735",2,2013-04-10 20:49:33
"43.70607334,-72.28289277",3,2013-04-17 07:29:35
"42.36179445,-71.0801419",3,2013-04-11 20:25:45
"43.70710444,-72.28311046",2,2013-04-12 20:08:45
"43.70632,-72.28343388",1,2013-04-13 20:30:30
"43.70620341,-72.28324609",1,2013-04-14 21:04:08
"43.70839358,-72.2822233",2,2013-04-16 06:19:38
"43.70645524,-72.28313281",3,2013-04-18 04:12:17
"43.70645524,-72.28313281",3,2013-04-18 06:00:12
"43.70613747,-72.28341241",3,2013-04-19 06:00:10
"43.70614787,-72.2833544",2,2013-04-21 04:35:00
"43.7061593,-72.2835932",2,2013-04-21 16:51:38
"43.70626803,-72.2833694",2,2013-04-22 01:53:15
"43.70625615,-72.28323149",2,2013-04-22 06:16:26
"43.70623102,-72.28310164",2,2013-04-23 06:04:50
"43.70591621,-72.28494616",1,2013-04-28 08:44:55
"43.70616071,-72.28328686",3,2013-04-26 07:06:20
"43.7062086,-72.28353341",2,2013-05-03 09:40:32
"43.70621972,-72.28341278",3,2013-05-10 06:00:14
"43.70317016,-72.28645937",1,2013-05-11 07:02:33
"43.70647378,-72.28294033",1,2013-05-12 09:23:41
"43.70673131,-72.28330986",1,2013-05-06 06:20:14
"43.7062678,-72.28294227",3,2013-05-09 10:58:55
"43.70616309,-72.28327894",1,2013-05-05 10:14:02
"43.70647378,-72.28294033",2,2013-05-13 03:45:21
"43.70599042,-72.28304403",1,2013-05-13 08:02:23
"43.7059648,-72.2834485",2,2013-05-14 09:45:22
"43.70239827,-72.28972347",2,2013-06-01 03:40:58
"43.70627269,-72.28321965",1,2013-05-25 09:25:20
"43.70539408,-72.28305743",2,2013-05-26 03:32:27
"43.70618726,-72.28339225",1,2013-05-27 02:44:56
"43.70527295,-72.28304277",2,2013-05-29 02:03:41
"43.70622433,-72.28334234",2,2013-05-28 22:17:33
"43.70565376,-72.28328564",1,2013-05-30 02:49:07
