location,number,resp_time,null
"43.7038505,-72.28368719",3.0,2013-03-30 10:01:30,
,,2013-03-24 09:56:46,4.0
,,2013-03-24 10:48:03,4.0
,,2013-03-24 10:48:07,3.0
,,2013-03-24 10:48:09,4.0
"43.70391766,-72.28483911",3.0,2013-04-03 17:57:11,
"43.70675332,-72.2868274",3.0,2013-03-27 03:43:25,
"43.7040066,-72.28391899",3.0,2013-03-27 17:18:00,
"43.70321138,-72.29012708",3.0,2013-03-29 06:54:58,
"43.70392608,-72.28391071",4.0,2013-03-29 17:05:45,
"43.70327981,-72.28393317",3.0,2013-03-28 08:35:58,
"43.70381904,-72.28413912",3.0,2013-03-28 18:03:30,
"43.70358547,-72.28382208",3.0,2013-03-31 07:07:51,
"43.7034298,-72.2850223",3.0,2013-03-31 12:10:04,
"43.70278287,-72.28564898",4.0,2013-04-03 05:04:52,
"43.70393335,-72.2837312",4.0,2013-04-01 06:24:05,
"43.70371391,-72.28343209",3.0,2013-04-01 18:02:17,
"43.70848921,-72.28671205",4.0,2013-04-02 12:21:34,
"43.70695956,-72.28589822",3.0,2013-04-04 05:41:44,
"43.70829698,-72.28430122",3.0,2013-04-11 20:04:30,
"43.70380132,-72.28395937",3.0,2013-04-17 07:14:59,
"43.70643727,-72.28702697",3.0,2013-04-18 06:46:51,
"43.70396269,-72.28384852",3.0,2013-04-18 00:34:13,
"43.70464073,-72.29441487",3.0,2013-04-19 10:31:27,
"43.70392925,-72.28380701",4.0,2013-04-20 06:52:35,
"43.70334071,-72.28326211",3.0,2013-04-21 07:25:20,
"43.70671038,-72.27728207",3.0,2013-04-22 06:24:39,
"43.70425769,-72.28391582",4.0,2013-04-23 21:32:08,
