null,resp_time,location,number
4,2013-03-24 09:55:50,,
4,2013-03-24 10:37:43,,
3,2013-03-24 10:37:45,,
"43.70643224,-72.28718618",2013-03-24 10:37:41,,
"43.70643224,-72.28718618",2013-03-24 10:43:16,,
,2013-03-29 05:44:08,"43.70909673,-72.28432992",4.0
,2013-03-29 06:35:18,"43.70909673,-72.28432992",4.0
,2013-04-01 05:27:54,"43.44153531,-72.06255875",5.0
,2013-03-30 07:05:24,"43.70076509,-72.2869313",3.0
,2013-04-01 04:11:23,"42.00881745,-71.3042994",3.0
,2013-04-03 05:20:03,"43.70433167,-72.28846521",3.0
,2013-04-04 05:40:27,"43.70115034,-72.2859029",3.0
,2013-04-05 18:55:58,Unknown,4.0
,2013-04-08 05:52:47,Unknown,2.0
,2013-04-08 05:53:07,Unknown,2.0
,2013-04-11 20:01:34,Unknown,3.0
,2013-04-16 07:04:36,"43.70609873,-72.28690685",2.0
,2013-04-18 07:04:25,"43.7004869,-72.28717433",3.0
,2013-04-21 07:11:15,Unknown,2.0
