location,number,resp_time,null
Unknown,5.0,2013-03-30 09:48:16,
,,2013-03-24 10:49:59,"43.70418487,-72.28949725"
,,2013-03-24 09:48:52,4
,,2013-03-24 10:49:58,5
,,2013-03-24 10:50:02,"43.70593748,-72.28873507"
"43.64827459,-72.24550815",3.0,2013-03-31 07:05:45,
"43.70371584,-72.2909896",4.0,2013-04-03 18:04:30,
,,2013-03-30 01:11:11,4
,,2013-03-30 01:11:14,Unknown
,,2013-03-30 01:11:09,Unknown
,,2013-03-30 01:11:13,5
"42.43957501,-71.25060403",4.0,2013-04-01 07:29:20,
"43.70574271,-72.28946233",3.0,2013-04-02 07:54:17,
"43.70832897,-72.28441037",3.0,2013-04-08 19:12:56,
"43.70584223,-72.29075364",4.0,2013-04-05 09:26:04,
"43.70612576,-72.29094097",5.0,2013-04-06 04:06:11,
"43.70515516,-72.28939444",5.0,2013-04-07 09:08:41,
"43.70285908,-72.29002745",4.0,2013-04-17 06:50:07,
"43.70827877,-72.28438588",4.0,2013-04-10 20:52:31,
"43.70433336,-72.29107034",5.0,2013-04-11 20:03:37,
"43.70340811,-72.29061712",4.0,2013-04-10 07:57:41,
"43.71906267,-72.27262809",4.0,2013-04-12 17:41:56,
"43.71713165,-72.27145544",4.0,2013-04-13 21:53:00,
"43.71713165,-72.27145544",5.0,2013-04-14 20:50:22,
Unknown,5.0,2013-04-18 11:09:32,
"43.70300607,-72.29026873",4.0,2013-04-19 09:16:49,
"43.7031993,-72.2904444",3.0,2013-04-22 09:17:07,
"43.70211393,-72.28994529",5.0,2013-05-03 07:38:24,
"43.70425459,-72.29094939",3.0,2013-05-06 06:00:46,
"43.719082,-72.2724696",4.0,2013-05-10 18:50:28,
"43.7089232,-72.28415444",4.0,2013-05-09 07:35:55,
"43.70420319,-72.28854729",6.0,2013-05-05 17:27:33,
"43.7037874,-72.29006945",6.0,2013-05-13 00:08:18,
Unknown,4.0,2013-05-20 21:00:09,
"43.70450738,-72.29025958",4.0,2013-05-28 19:35:22,
"43.65273307,-72.24424084",4.0,2013-05-27 06:29:09,
