null,resp_time,location,number
"43.70499676,-72.28851178",2013-03-24 10:37:33,,
3,2013-03-24 10:43:07,,
1,2013-03-24 10:37:35,,
3,2013-03-24 09:52:30,,
2,2013-03-24 10:37:31,,
5,2013-03-24 23:56:02,,
,2013-03-31 06:07:53,"43.70498786,-72.28672971",4.0
,2013-04-03 04:03:07,"43.70597053,-72.28839433",3.0
,2013-03-27 23:17:16,"43.70612113,-72.28723353",4.0
,2013-03-29 09:01:37,"43.70485903,-72.28640248",3.0
,2013-03-29 19:22:41,"43.70509271,-72.28680761",3.0
,2013-03-30 06:48:35,"43.70415142,-72.28835024",3.0
,2013-03-30 09:52:17,"43.70499355,-72.28677683",4.0
,2013-03-30 18:58:44,"43.70503113,-72.28694162",4.0
,2013-04-01 08:58:46,"43.70516844,-72.28680259",2.0
,2013-04-02 04:01:38,"43.7048674,-72.28716119",3.0
,2013-04-03 01:12:20,"43.70759133,-72.28860353",2.0
,2013-04-04 04:30:58,"43.70169949,-72.28842649",3.0
,2013-04-07 06:07:20,"43.70476614,-72.28673145",3.0
,2013-04-06 20:47:16,"43.70506289,-72.28675801",4.0
,2013-04-10 21:03:52,"43.70498939,-72.28699053",3.0
,2013-04-09 09:08:45,"43.70477259,-72.28698419",3.0
,2013-04-11 20:10:43,"43.70511041,-72.28702345",4.0
,2013-04-12 20:03:20,"43.70460577,-72.28671025",4.0
,2013-04-17 06:29:59,"43.70496368,-72.28727007",4.0
,2013-04-21 06:04:52,"43.70592312,-72.28765391",4.0
,2013-04-22 06:00:04,"43.70497161,-72.28670851",3.0
,2013-05-09 08:24:40,"43.70512664,-72.28785661",3.0
,2013-05-11 20:32:55,"43.70490336,-72.286727",4.0
,2013-05-12 18:02:41,"43.70592194,-72.28696999",3.0
,2013-05-06 07:12:25,"43.70635373,-72.28713582",3.0
,2013-05-29 02:13:38,Unknown,1.0
