null,resp_time,location,number
5,2013-03-24 10:47:11,,
4,2013-03-24 10:47:12,,
"43.70591546,-72.28812724",2013-03-24 10:47:15,,
"43.70628474,-72.2870415",2013-03-24 09:49:45,,
3,2013-03-24 10:47:14,,
,2013-03-29 06:06:16,"43.62582222,-72.32170345",3.0
,2013-03-28 01:45:43,"43.68033949,-72.29342364",1.0
,2013-04-01 15:04:09,"43.68058811,-72.29382608",3.0
,2013-04-07 06:00:45,"43.68058975,-72.29341535",2.0
,2013-04-08 06:02:37,"43.70251778,-72.28878459",1.0
,2013-04-10 20:05:40,"43.70752443,-72.28535807",1.0
,2013-04-12 20:12:33,"43.68182466,-72.29459983",1.0
,2013-04-17 06:04:00,"43.70683607,-72.28698903",1.0
,2013-04-18 06:15:12,"43.68306447,-72.29439954",1.0
