null,resp_time,location,number
"43.70643452,-72.28706984",2013-03-24 09:55:46,,
3,2013-03-24 10:47:51,,
3,2013-03-24 10:47:49,,
3,2013-03-24 10:47:53,,
4,2013-03-24 10:47:55,,
,2013-03-29 08:36:42,"43.70575397,-72.29579325",5.0
,2013-03-30 06:00:41,"43.70475624,-72.29065153",5.0
,2013-04-04 04:49:10,"43.70414117,-72.29034521",5.0
,2013-04-08 05:59:13,Unknown,4.0
,2013-04-08 04:29:23,"41.49583437,-71.45812765",4.0
,2013-04-09 06:14:04,Unknown,4.0
,2013-04-14 21:38:36,Unknown,4.0
,2013-04-16 06:33:13,"43.7052318,-72.29189415",5.0
,2013-04-22 06:06:38,Unknown,4.0
,2013-04-23 06:00:48,"43.70746352,-72.28565777",4.0
