null,resp_time,location,number
1,2013-03-24 09:55:08,,
"43.70651454,-72.28773241",2013-03-24 10:45:05,,
4,2013-03-24 10:37:20,,
1,2013-03-24 10:37:16,,
5,2013-03-24 10:37:18,,
,2013-03-31 06:13:06,"43.7081182,-72.28358526",1.0
,2013-03-29 21:38:39,"43.70717042,-72.28652835",2.0
,2013-04-01 10:27:19,"43.70568092,-72.28295897",1.0
,2013-04-05 05:41:15,"43.70666919,-72.28713494",1.0
,2013-04-07 06:31:46,"43.70683169,-72.28705001",1.0
,2013-04-11 20:10:07,"43.70657402,-72.28709846",2.0
,2013-04-10 21:49:24,"43.70553455,-72.28285265",2.0
