null,resp_time,location,number
1,2013-03-24 10:37:32,,
"43.70634108,-72.2870727",2013-03-24 10:43:39,,
"43.70634108,-72.2870727",2013-03-24 10:37:35,,
1,2013-03-24 09:50:25,,
"43.70634108,-72.2870727",2013-03-24 10:37:33,,
,2013-03-29 06:59:28,"43.70274374,-72.28756665",3.0
,2013-03-28 20:37:19,"43.70655446,-72.28713909",1.0
,2013-03-29 19:03:42,"43.70754161,-72.28527106",2.0
,2013-03-31 09:20:05,"43.70245107,-72.28768138",3.0
,2013-04-01 09:32:38,"43.70389316,-72.28575202",1.0
,2013-04-03 04:00:23,"43.70388196,-72.28583882",3.0
,2013-04-08 06:04:23,"43.70405156,-72.28599069",1.0
,2013-04-15 10:19:59,Unknown,2.0
,2013-04-16 06:20:17,"43.70415002,-72.2857329",2.0
,2013-04-17 09:18:13,"43.70400104,-72.28585139",3.0
,2013-04-18 07:40:41,"43.70424431,-72.28559775",3.0
,2013-04-19 06:30:23,"43.70375531,-72.28604079",2.0
,2013-04-21 07:06:21,"43.70378808,-72.28567117",2.0
,2013-04-28 06:00:17,"43.70552478,-72.28974476",2.0
,2013-05-03 09:56:10,"43.70456912,-72.28710171",3.0
,2013-06-01 03:02:26,"43.70375608,-72.28703624",1.0
