null,resp_time,location,number
"43.70642256,-72.28714138",2013-03-24 09:56:28,,
"43.70525225,-72.28868813",2013-03-24 10:52:56,,
"43.70525225,-72.28868813",2013-03-24 10:52:53,,
"43.70676444,-72.28705918",2013-03-24 10:52:58,,
"43.70525225,-72.28868813",2013-03-24 10:52:55,,
,2013-04-04 04:05:35,"43.64103289,-72.24899344",2.0
,2013-03-29 04:21:18,"43.70551161,-72.28318058",2.0
,2013-03-29 08:56:58,"43.70568371,-72.28335447",2.0
,2013-04-03 04:53:16,"43.69342141,-72.27623288",3.0
,2013-03-30 06:09:02,"43.70540779,-72.28341488",2.0
,2013-03-31 08:00:36,"43.70556869,-72.28311254",2.0
,2013-04-01 07:58:02,"43.70537348,-72.2834109",1.0
,2013-04-06 04:26:51,"43.70826852,-72.28473529",1.0
,2013-04-08 06:04:21,"43.53959054,-72.38995452",3.0
,2013-04-08 05:53:15,"43.53959054,-72.38995452",2.0
,2013-04-08 05:53:24,"43.53959054,-72.38995452",2.0
,2013-04-10 20:09:59,"43.70410839,-72.29042107",3.0
,2013-04-11 20:03:57,"43.7032067,-72.29080808",3.0
,2013-04-12 20:52:10,"43.7032067,-72.29080808",3.0
,2013-04-14 23:19:14,"43.7053364,-72.28315167",2.0
,2013-04-18 07:10:33,"43.7077701,-72.28363396",4.0
,2013-04-19 06:49:12,"43.7053473,-72.28304112",3.0
,2013-04-22 00:00:21,"43.70554288,-72.28320827",2.0
,2013-04-28 00:08:44,"43.70553437,-72.28348632",2.0
,2013-05-03 08:34:28,"43.70537226,-72.28333742",3.0
,2013-05-11 06:25:15,"43.70206724,-72.28924417",2.0
,2013-05-10 09:13:25,"43.65861498,-72.24869697",2.0
