null,resp_time,location,number
4,2013-03-24 10:43:38,,
"43.70643559,-72.28705828",2013-03-24 09:50:24,,
1,2013-03-24 10:39:36,,
"43.70643559,-72.28705828",2013-03-24 10:39:39,,
6,2013-03-24 10:39:38,,
,2013-04-10 03:45:46,"43.70657715,-72.28645985",1.0
,2013-04-10 03:45:48,Unknown,1.0
,2013-04-10 04:24:46,Unknown,1.0
,2013-04-10 04:24:44,"43.70657715,-72.28645985",1.0
,2013-04-17 06:33:32,"43.65176968,-72.30989016",1.0
,2013-04-17 06:34:11,"43.65176968,-72.30989016",1.0
,2013-04-13 06:05:15,"43.65161386,-72.31003509",1.0
,2013-04-17 06:34:13,"43.65176968,-72.30989016",1.0
,2013-04-16 04:21:11,"43.7008617,-72.28950786",1.0
,2013-04-16 04:21:12,"43.7008617,-72.28950786",1.0
,2013-04-24 18:52:40,"43.65167079,-72.31001806",1.0
