location,number,resp_time,null
"43.70543514,-72.2831621",1.0,2013-03-30 17:15:28,
,,2013-03-24 10:32:13,1
,,2013-03-24 10:14:00,"43.7063577,-72.28700524"
,,2013-03-24 10:02:39,3
,,2013-03-24 09:54:17,"43.70634112,-72.28698431"
,,2013-03-24 10:46:46,3
"43.70560877,-72.2829117",1.0,2013-04-01 02:39:32,
"43.70553167,-72.28322691",2.0,2013-04-03 17:35:15,
"43.70561004,-72.28332987",1.0,2013-03-27 23:51:47,
"43.70545859,-72.28327112",2.0,2013-03-28 18:22:15,
"43.70542162,-72.28306587",1.0,2013-03-29 06:00:12,
"43.70562674,-72.28323386",1.0,2013-03-29 17:21:09,
"43.70510657,-72.28314592",1.0,2013-04-04 04:46:49,
"43.70697315,-72.28677802",1.0,2013-03-30 00:29:59,
"43.70543416,-72.28315549",1.0,2013-03-31 06:35:16,
"43.70552841,-72.28316626",1.0,2013-03-30 06:04:07,
"43.70546909,-72.28312334",1.0,2013-03-31 17:12:16,
"43.70560877,-72.2829117",1.0,2013-04-01 06:00:13,
"43.70543892,-72.28338924",2.0,2013-04-03 00:43:47,
"43.70584231,-72.28305972",1.0,2013-04-03 04:07:01,
"43.70563195,-72.28339769",1.0,2013-04-07 04:16:03,
"43.70538733,-72.28323434",1.0,2013-04-05 04:50:08,
"43.70565145,-72.28330752",1.0,2013-04-06 01:10:46,
"43.70539334,-72.28311345",2.0,2013-04-08 02:53:53,
"43.70553735,-72.28329059",1.0,2013-04-08 06:02:22,
"43.7056173,-72.2833203",1.0,2013-04-10 02:36:07,
"43.7056173,-72.2833203",1.0,2013-04-10 20:31:23,
"43.70528667,-72.28338562",1.0,2013-04-11 20:02:31,
"43.7054476,-72.28326768",1.0,2013-04-12 20:01:27,
"43.70260706,-72.28790197",1.0,2013-04-13 20:54:50,
"43.7050473,-72.28277244",1.0,2013-04-14 19:59:57,
"43.70524941,-72.28302207",1.0,2013-04-17 06:13:22,
"43.70543897,-72.28317522",1.0,2013-04-18 07:50:07,
"43.70536425,-72.28308904",1.0,2013-04-19 06:00:16,
"43.70531979,-72.28326262",1.0,2013-04-22 06:01:20,
"43.70542313,-72.28315593",1.0,2013-04-23 05:59:57,
"43.70551445,-72.28307203",1.0,2013-04-28 06:18:07,
