null,resp_time,location,number
1,2013-03-24 09:49:18,,
"43.70631289,-72.2870632",2013-03-24 10:50:57,,
"43.70631289,-72.2870632",2013-03-24 10:50:55,,
"43.70672623,-72.28718757",2013-03-24 10:51:00,,
1,2013-03-24 10:50:59,,
5,2013-03-24 10:50:57,,
,2013-03-29 08:31:59,"43.706922,-72.28620799",3.0
,2013-04-03 04:53:12,"43.70794976,-72.28483945",4.0
,2013-04-04 05:22:07,"43.70834285,-72.28515483",4.0
,2013-04-05 05:42:03,"43.7072904,-72.28579172",4.0
,2013-04-06 05:49:44,"43.69979349,-72.28945872",4.0
