location,number,resp_time,null
"43.70709166,-72.29282882",3.0,2013-03-30 10:42:30,
,,2013-03-24 09:52:03,1
,,2013-03-24 10:45:07,"43.70632816,-72.28699831"
,,2013-03-24 10:47:10,"43.70632816,-72.28699831"
,,2013-03-24 10:45:06,"43.70632816,-72.28699831"
,,2013-03-24 10:45:09,4
"43.70722118,-72.29347434",3.0,2013-03-27 02:00:43,
"43.70704851,-72.29352529",4.0,2013-03-29 06:03:56,
"43.70712733,-72.29338199",3.0,2013-04-01 06:07:56,
"43.70620445,-72.29116858",4.0,2013-04-08 07:16:14,
"43.7070604,-72.29313622",3.0,2013-04-05 04:15:57,
"43.70695809,-72.29258525",3.0,2013-04-07 06:11:04,
"43.70719741,-72.29304273",2.0,2013-04-09 06:30:38,
"43.7069528,-72.2931724",3.0,2013-04-10 20:16:32,
"43.70847866,-72.28433145",3.0,2013-04-12 20:05:40,
"43.70791892,-72.28484015",4.0,2013-04-11 20:00:13,
"43.70725458,-72.29319166",2.0,2013-04-13 20:09:47,
"43.70709895,-72.29314257",3.0,2013-04-18 06:03:04,
"43.70306572,-72.29094266",2.0,2013-04-14 20:22:36,
"43.70685857,-72.29270076",2.0,2013-04-16 06:00:13,
"43.70730987,-72.29311925",3.0,2013-04-21 06:07:01,
"43.70637115,-72.28677143",3.0,2013-04-22 06:18:16,
"43.70597948,-72.28876093",2.0,2013-04-23 06:13:01,
"43.70733654,-72.29309241",3.0,2013-05-06 06:32:02,
"43.64550248,-72.31783898",1.0,2013-05-25 06:05:27,
