null,resp_time,location,number
"43.70478674,-72.28850478",2013-03-24 10:37:46,,
"43.70478674,-72.28850478",2013-03-24 10:37:43,,
"43.70478674,-72.28850478",2013-03-24 10:37:45,,
1,2013-03-24 10:39:31,,
,2013-03-31 08:47:45,"42.94097068,-72.52796872",5.0
,2013-03-29 06:30:31,"43.70440077,-72.28257231",4.0
,2013-03-29 23:35:18,"43.70240618,-72.28732915",4.0
,2013-03-31 19:21:05,"42.94097068,-72.52796872",3.0
,2013-04-06 22:01:57,"43.70294473,-72.28772261",5.0
,2013-04-06 22:01:55,"43.70294473,-72.28772261",4.0
,2013-04-08 20:11:09,Unknown,2.0
,2013-04-16 06:02:22,"43.70432058,-72.28833341",3.0
,2013-04-13 21:39:19,"43.69971813,-72.29088714",5.0
,2013-04-11 20:04:02,"43.70279814,-72.28714674",5.0
,2013-04-14 20:51:05,"40.7742808,-73.96073797",2.0
,2013-04-18 07:53:50,"43.70237328,-72.28670467",4.0
,2013-04-19 16:55:33,"43.70254488,-72.28677668",3.0
,2013-04-20 22:09:21,"41.23064284,-73.0728831",4.0
,2013-04-22 07:48:51,"41.23064284,-73.0728831",2.0
,2013-04-21 06:03:14,"41.23064284,-73.0728831",4.0
,2013-04-25 04:01:59,"41.23064284,-73.0728831",5.0
