null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 10:39:12,,,,,
2,2013-03-24 10:38:41,,,,,
ff,2013-03-24 10:38:43,,,,,
8,2013-03-24 10:38:46,,,,,
7,2013-03-24 10:38:44,,,,,
,2013-03-31 00:00:31,cs65,2.0,1.0,8.0,"43.70406856,-72.29058126"
,2013-03-29 00:56:59,cs65,2.0,3.0,2.0,"43.70648538,-72.28742777"
,2013-03-27 20:56:07,cs65,2.0,2.0,3.0,"43.70605071,-72.28863023"
,2013-03-28 00:03:26,cs89,2.0,3.0,6.0,"43.70641004,-72.28743893"
,2013-03-27 20:56:32,cs89,2.0,2.0,6.0,"43.70605071,-72.28863023"
,2013-03-30 03:59:27,cs89,2.0,3.0,5.0,"43.70536412,-72.28973776"
,2013-04-01 01:59:15,cs89,2.0,1.0,12.0,"43.70470793,-72.29118335"
,2013-04-03 17:41:01,cs65,2.0,2.0,8.0,"43.70740824,-72.28560311"
,2013-04-03 17:41:04,mus16,2.0,3.0,3.0,"43.70629105,-72.28869027"
,2013-04-09 05:54:32,cs65,2.0,3.0,7.0,"43.7046699,-72.29098352"
,2013-04-09 05:54:34,cs65,1.0,2.0,10.0,"43.70467368,-72.29087023"
,2013-04-09 05:54:26,cs65,2.0,2.0,5.0,"43.7049465,-72.28947488"
,2013-04-09 05:54:26,cs89,2.0,3.0,7.0,"43.70512967,-72.28920458"
,2013-04-09 05:54:21,cs89,2.0,3.0,3.0,"43.70487668,-72.29229973"
,2013-04-09 05:54:22,thesis,2.0,2.0,8.0,"43.70487668,-72.29229973"
,2013-04-10 00:26:20,mus16,2.0,3.0,3.0,"43.70467368,-72.29087023"
,2013-04-14 03:50:50,cs65,2.0,3.0,11.0,"43.70459704,-72.29138802"
,2013-04-12 01:39:22,cs65,2.0,3.0,3.0,"43.70678195,-72.28738426"
,2013-04-16 23:51:00,mus 16,1.0,2.0,4.0,"43.70495522,-72.29090614"
,2013-04-18 18:57:45,thesis,1.0,3.0,12.0,"43.70460031,-72.29111515"
,2013-04-16 01:40:42,cs65,1.0,2.0,6.0,"43.70495522,-72.29090614"
,2013-04-17 00:01:44,thesis,2.0,3.0,12.0,"43.70495522,-72.29090614"
,2013-04-19 02:33:34,cs65,2.0,2.0,8.0,"43.70237732,-72.28914013"
,2013-04-20 19:44:19,cs89,2.0,3.0,7.0,Unknown
,2013-04-20 19:43:53,cs65,2.0,2.0,8.0,Unknown
,2013-04-24 23:07:10,cs65,2.0,3.0,4.0,"43.70436814,-72.29014514"
,2013-04-24 02:01:55,cs65,1.0,3.0,12.0,"43.70658046,-72.28733564"
,2013-04-26 16:04:36,cs65,2.0,3.0,4.0,"43.7060191,-72.28758328"
,2013-04-29 04:29:43,cs89,1.0,3.0,12.0,Unknown
,2013-04-29 04:30:08,mus16,2.0,3.0,5.0,Unknown
,2013-04-29 04:29:56,cs65,1.0,3.0,12.0,Unknown
,2013-04-29 04:30:18,thesis,1.0,3.0,12.0,Unknown
