null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 09:56:35,,,,,
10,2013-03-24 10:48:04,,,,,
"43.70619188,-72.28794934",2013-03-24 10:48:08,,,,,
1,2013-03-24 10:48:03,,,,,
3,2013-03-24 10:48:06,,,,,
,2013-03-28 23:34:29,cs77,2.0,4.0,1.0,"43.70200398,-72.28793859"
,2013-03-29 19:01:51,cs65,2.0,3.0,1.0,"43.70392608,-72.28391071"
,2013-03-27 22:53:59,cs60,2.0,2.0,3.0,"43.70853656,-72.28421485"
,2013-03-27 19:07:47,cs65,2.0,3.0,3.0,"43.7040066,-72.28391899"
,2013-03-28 21:00:45,cs65,2.0,3.0,2.0,"43.70432208,-72.28794944"
,2013-04-01 19:06:59,cs65,2.0,3.0,4.0,"43.70878398,-72.28424859"
,2013-04-01 23:00:55,cs60,2.0,3.0,2.0,"43.70302271,-72.28557646"
,2013-04-02 23:44:03,cs77,2.0,4.0,2.0,"43.70393516,-72.28368383"
,2013-04-03 19:55:52,cs 65,2.0,1.0,3.0,"43.70910489,-72.2849146"
,2013-04-03 22:59:01,cs 60,2.0,2.0,3.0,"43.70410765,-72.28384747"
,2013-04-10 17:57:16,cs77,2.0,4.0,1.0,"43.70387324,-72.2836399"
,2013-04-11 20:52:22,cs65,2.0,3.0,1.0,"43.70829698,-72.28430122"
,2013-04-11 09:31:50,cs65,2.0,3.0,1.0,"43.70416133,-72.28362449"
,2013-04-12 02:43:52,cs77,2.0,3.0,4.0,"43.70829698,-72.28430122"
,2013-04-11 21:35:15,cs60,2.0,4.0,1.0,"43.70829698,-72.28430122"
,2013-04-18 23:37:59,cs 77,1.0,4.0,7.0,"43.70366889,-72.28404405"
,2013-04-15 23:54:40,cs60,1.0,2.0,12.0,"43.70846713,-72.28425547"
,2013-04-18 23:37:58,cs 65,2.0,3.0,2.0,"43.70366889,-72.28404405"
,2013-04-18 00:29:47,cs 60,2.0,2.0,3.0,"43.70416614,-72.28370053"
,2013-04-18 00:30:05,cs65,2.0,3.0,3.0,"43.70412254,-72.28381654"
,2013-04-19 19:00:46,cs 65,2.0,3.0,1.0,"43.70375498,-72.28370087"
,2013-04-20 06:49:10,cs 60,2.0,3.0,5.0,"43.70413027,-72.28378295"
,2013-04-23 21:29:27,cs 65,1.0,1.0,9.0,"43.70425769,-72.28391582"
,2013-04-23 21:29:45,cs 65,1.0,3.0,11.0,"43.70425769,-72.28391582"
,2013-04-23 23:58:01,cs77,2.0,1.0,2.0,"43.70425769,-72.28391582"
