null,resp_time,course_id,due,experience,hours,location
try,2013-03-24 09:56:05,,,,,
r,2013-03-24 10:52:54,,,,,
y,2013-03-24 10:52:56,,,,,
"43.70522611,-72.28867658",2013-03-24 10:52:53,,,,,
2,2013-03-24 10:52:57,,,,,
,2013-03-29 04:21:17,cs77,2.0,3.0,3.0,"43.70550357,-72.28323518"
,2013-03-30 00:37:18,"cs77
",2.0,1.0,3.0,"43.70787552,-72.28482605"
,2013-03-31 01:52:57,no class,2.0,1.0,5.0,"43.70539776,-72.28313216"
,2013-04-01 19:25:21,cs165,1.0,1.0,4.0,"43.70806959,-72.28480897"
,2013-04-05 23:30:29,cs165,2.0,3.0,6.0,"43.70108441,-72.28807194"
,2013-04-09 00:05:26,cs165,1.0,3.0,3.0,"43.53959054,-72.38995452"
,2013-04-11 00:05:28,cs65,2.0,4.0,4.0,"43.70410839,-72.29042107"
,2013-04-12 20:52:48,cs165,2.0,1.0,1.0,"43.7032067,-72.29080808"
,2013-04-16 02:05:42,cs165,1.0,3.0,5.0,Unknown
,2013-04-18 00:23:32,cs165,2.0,1.0,6.0,"43.7077701,-72.28363396"
,2013-04-19 19:25:51,cs165,2.0,1.0,3.0,"43.70694392,-72.28313593"
,2013-04-29 22:04:39,cs165,2.0,1.0,5.0,"43.70462528,-72.30440054"
,2013-05-07 00:04:14,network,2.0,3.0,12.0,"43.70696392,-72.28734398"
