null,resp_time,course_id,due,experience,hours,location
"43.70636736,-72.28702107",2013-03-24 09:50:58,,,,,
gvv,2013-03-24 10:49:51,,,,,
2,2013-03-24 10:49:49,,,,,
gvc,2013-03-24 10:49:47,,,,,
1,2013-03-24 10:49:46,,,,,
,2013-04-03 15:33:22,tuck3,2.0,4.0,3.0,"43.63745411,-72.24846941"
,2013-03-27 04:41:22,"GH
",1.0,1.0,1.0,"43.70618903,-72.28722948"
,2013-03-29 06:16:53,tuck 003,2.0,1.0,1.0,"43.63731604,-72.24852742"
,2013-03-27 21:38:55,cs50,2.0,3.0,1.0,"43.70640895,-72.2882317"
,2013-03-28 00:25:43,cs 89,2.0,3.0,1.0,"43.637604,-72.24834382"
,2013-03-29 00:22:36,cs66,2.0,3.0,7.0,"43.68470585,-72.26924658"
,2013-03-29 20:26:04,cs89,2.0,3.0,4.0,"43.70977927,-72.28303993"
,2013-04-06 03:40:36,cs50,2.0,3.0,7.0,"42.63750503,-71.18233284"
,2013-04-17 00:10:41,tuck 3,2.0,4.0,1.0,"43.63747443,-72.24856045"
