null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 09:57:06,,,,,
,2013-03-30 02:05:42,cs165,2.0,1.0,1.0,"43.70651977,-72.28705416"
buy,2013-03-24 10:51:34,,,,,
2,2013-03-24 10:51:36,,,,,
2,2013-03-24 10:51:39,,,,,
y,2013-03-24 10:51:38,,,,,
,2013-03-29 06:06:07,cs65,2.0,1.0,1.0,"43.69935689,-72.29051287"
,2013-03-31 08:58:54,no class today,2.0,1.0,5.0,"43.65187205,-72.30975063"
,2013-04-01 00:35:53,none,2.0,1.0,1.0,"43.7064344,-72.28715538"
,2013-04-02 03:19:48,cs165,2.0,1.0,1.0,"43.70659353,-72.2869791"
,2013-04-05 22:52:14,cs165,2.0,1.0,1.0,"43.6944476,-72.28377596"
,2013-04-06 23:47:55,none,2.0,1.0,1.0,"43.63775583,-72.27461681"
,2013-04-10 00:44:57,CS170,1.0,1.0,1.0,"43.70660044,-72.28702986"
,2013-04-18 00:02:54,cs165,2.0,1.0,1.0,"43.70637441,-72.28703898"
,2013-04-14 00:01:08,none,2.0,1.0,1.0,"43.70664201,-72.28687051"
,2013-04-12 02:05:08,cs170,2.0,1.0,3.0,"43.70628524,-72.28705371"
,2013-04-15 23:17:32,cs165,1.0,1.0,5.0,"43.7065978,-72.28709206"
,2013-04-16 01:51:34,cs165,1.0,1.0,1.0,Unknown
,2013-04-17 00:03:09,cs170,1.0,1.0,7.0,"43.69730937,-72.28441371"
,2013-04-18 19:57:43,cs170,2.0,1.0,1.0,"43.70862775,-72.28345986"
,2013-04-24 03:08:15,cs170,2.0,1.0,1.0,"43.70057317,-72.28671215"
,2013-04-24 23:46:40,na,2.0,1.0,1.0,"43.70657735,-72.28707451"
