null,resp_time,course_id,due,experience,hours,location
4,2013-03-24 09:50:23,,,,,
1,2013-03-24 10:37:45,,,,,
"43.70478674,-72.28850478",2013-03-24 10:39:12,,,,,
7,2013-03-24 10:37:42,,,,,
7,2013-03-24 10:37:44,,,,,
,2013-03-29 19:03:06,CS65,2.0,3.0,1.0,"43.70240618,-72.28732915"
,2013-03-29 21:46:21,CS50,2.0,1.0,3.0,"43.70240618,-72.28732915"
,2013-04-03 18:56:45,Music 3,2.0,3.0,2.0,"43.70324769,-72.29030293"
,2013-04-03 18:56:43,CS 50,2.0,3.0,7.0,"43.70216667,-72.2862385"
,2013-04-03 18:56:43,CS 65,1.0,2.0,3.0,"43.70216667,-72.2862385"
,2013-04-06 22:01:53,CS 65,2.0,3.0,1.0,"43.70294473,-72.28772261"
,2013-04-06 22:02:00,CS 50,2.0,3.0,2.0,"43.70294473,-72.28772261"
,2013-04-06 22:02:00,Music 3,1.0,3.0,4.0,"43.70294473,-72.28772261"
,2013-04-06 22:01:53,CS 50,2.0,3.0,3.0,"43.70294473,-72.28772261"
,2013-04-06 22:02:00,CS 65,2.0,2.0,1.0,"43.70294473,-72.28772261"
,2013-04-10 04:00:09,CS 50,2.0,3.0,1.0,"43.70260784,-72.28705135"
,2013-04-10 04:00:09,Music 3,2.0,3.0,3.0,"43.70260784,-72.28705135"
,2013-04-11 10:25:07,CS 50,2.0,3.0,1.0,"43.70377413,-72.29073246"
,2013-04-11 10:25:07,CS 65,2.0,3.0,2.0,"43.70377413,-72.29073246"
,2013-04-17 00:47:44,Music 3,2.0,3.0,1.0,"43.70301736,-72.28773771"
,2013-04-12 00:07:59,Music 3,2.0,3.0,3.0,"43.70232979,-72.28706023"
,2013-04-12 00:07:34,CS 65,2.0,3.0,1.0,"43.70232979,-72.28706023"
,2013-04-17 00:46:31,CS 50,2.0,3.0,2.0,"43.70301736,-72.28773771"
,2013-04-18 00:55:28,CS 65,2.0,3.0,1.0,"43.70267956,-72.28791803"
,2013-04-18 00:55:03,CS 50,2.0,3.0,5.0,"43.7024116,-72.28734492"
,2013-04-23 09:47:44,CS 65,2.0,3.0,3.0,"41.23064284,-73.0728831"
,2013-04-23 09:48:41,CS 50,2.0,3.0,10.0,"41.23064284,-73.0728831"
,2013-05-03 06:30:16,CS 65,2.0,3.0,1.0,"43.7024991,-72.28938342"
,2013-05-03 06:30:41,Music 3,2.0,2.0,1.0,"43.7024991,-72.28938342"
