null,resp_time,course_id,due,experience,hours,location
1.0,2013-03-24 09:54:14,,,,,
1.0,2013-03-24 10:37:15,,,,,
1.0,2013-03-24 10:44:47,,,,,
1.0,2013-03-24 09:54:37,,,,,
1.0,2013-03-24 10:37:17,,,,,
1.0,2013-03-24 10:37:19,,,,,
,2013-03-30 00:58:37,cs65 cs60,2.0,2.0,5.0,"43.7066734,-72.28707417"
,2013-04-01 02:05:33,,1.0,1.0,11.0,"43.70664877,-72.28717946"
,2013-04-02 01:50:49,cs65 cs60,2.0,2.0,6.0,"43.70662366,-72.2871792"
,2013-04-02 22:51:57,no class,2.0,1.0,12.0,"43.70691805,-72.28722721"
,2013-04-04 23:03:16,cs65,2.0,1.0,7.0,"43.70570507,-72.28332967"
,2013-04-05 23:01:20,cs65 cs60,2.0,2.0,9.0,"43.70858707,-72.28423771"
,2013-04-09 00:39:04,"cs65, cs60",1.0,3.0,7.0,"43.70667651,-72.28720535"
,2013-04-10 00:40:57,,2.0,1.0,7.0,"43.7066987,-72.28722114"
,2013-04-11 01:04:34,cs65 cs60,2.0,2.0,11.0,"43.70679304,-72.28704022"
,2013-04-12 00:10:57,cs65,2.0,2.0,11.0,"43.70634061,-72.28723183"
,2013-04-13 01:02:26,"cs65,cs60",2.0,2.0,8.0,"43.70687358,-72.2872396"
,2013-04-14 03:33:31,,2.0,1.0,6.0,"43.7067665,-72.28722029"
,2013-04-16 01:51:49,cs60 cs65,1.0,3.0,8.0,"43.70625729,-72.28714244"
