null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 10:53:55,,,,,
1,2013-03-24 10:53:58,,,,,
1,2013-03-24 10:53:53,,,,,
hmhm,2013-03-24 10:53:56,,,,,
1,2013-03-24 10:53:50,,,,,
"43.70634198,-72.28701823",2013-03-24 10:53:51,,,,,
,2013-03-27 20:12:05,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759"
,2013-03-27 18:35:01,CS50,2.0,3.0,1.0,"43.70751491,-72.28694759"
,2013-03-28 00:07:18,cs50,2.0,1.0,2.0,"43.70751491,-72.28694759"
,2013-03-29 00:41:19,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759"
,2013-03-30 01:03:00,cs65,2.0,1.0,1.0,"43.70751491,-72.28694759"
