null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 10:46:24,,,,,
1,2013-03-24 09:51:25,,,,,
fg,2013-03-24 10:46:23,,,,,
gg,2013-03-24 10:46:19,,,,,
gv,2013-03-24 10:46:21,,,,,
,2013-04-03 23:02:29,cs60,2.0,2.0,3.0,"43.6971777,-72.28080395"
,2013-04-03 19:09:35,cs65,2.0,3.0,2.0,"43.70743771,-72.2862709"
,2013-04-04 21:41:55,cs60 xhour,2.0,1.0,3.0,"43.69706014,-72.28055451"
,2013-04-05 19:05:56,cs65,2.0,2.0,3.0,"43.70956983,-72.2828589"
,2013-04-05 22:52:59,cs60,2.0,2.0,8.0,"43.70956983,-72.2828589"
,2013-04-08 19:27:35,cs65,1.0,3.0,6.0,"43.69304677,-72.26666278"
,2013-04-08 22:50:09,cs60,1.0,3.0,7.0,"43.69219771,-72.26725631"
,2013-04-10 19:13:34,cs65,2.0,3.0,2.0,"43.70905522,-72.28367829"
,2013-04-12 00:21:01,cs60,2.0,3.0,3.0,"43.70752065,-72.28669805"
,2013-04-10 23:02:35,cs60,2.0,1.0,3.0,"43.70905522,-72.28367829"
,2013-04-17 22:52:10,cs60,2.0,3.0,2.0,"43.70968672,-72.28395597"
,2013-04-12 19:29:27,cs65,2.0,3.0,2.0,"43.69213022,-72.27010971"
,2013-04-12 23:19:10,cs60,2.0,1.0,3.0,"43.69213022,-72.27010971"
,2013-04-15 22:51:07,cs60,1.0,3.0,12.0,"43.70741846,-72.28641464"
,2013-04-17 19:05:52,cs60,2.0,1.0,6.0,"43.70968672,-72.28395597"
,2013-04-19 19:04:25,cs65,2.0,3.0,2.0,"43.70982734,-72.28287682"
,2013-04-19 22:50:33,cs60,2.0,2.0,4.0,"43.70311929,-72.28220394"
,2013-04-26 23:55:01,cs60,2.0,3.0,7.0,"43.7069105,-72.28675521"
,2013-04-22 22:52:09,cs60,1.0,1.0,12.0,"43.70957133,-72.28436521"
,2013-04-22 19:20:03,cs65,1.0,1.0,6.0,"43.70957133,-72.28436521"
,2013-04-26 19:08:23,cs65,2.0,3.0,3.0,"43.70924953,-72.28306718"
,2013-04-29 22:50:37,cs60,1.0,3.0,12.0,"43.70907937,-72.2835377"
,2013-05-01 22:49:17,cs60,2.0,3.0,2.0,"43.70760249,-72.286058"
,2013-05-01 19:06:11,cs65,2.0,3.0,12.0,"43.70958087,-72.28404203"
,2013-05-06 22:44:12,cs60,2.0,3.0,1.0,"43.70691341,-72.28711558"
,2013-05-08 18:57:49,cs65,2.0,3.0,5.0,"43.69230186,-72.26682816"
,2013-05-15 18:52:20,cs65,1.0,1.0,1.0,"43.6922359,-72.26676312"
,2013-05-09 22:06:33,cs60,2.0,3.0,2.0,"43.70914765,-72.28352116"
,2013-05-03 19:02:13,cs65,2.0,1.0,2.0,"43.70976741,-72.28416244"
,2013-05-03 22:54:43,renesys,2.0,3.0,1.0,"43.70976741,-72.28416244"
