null,resp_time,course_id,due,experience,hours,location
1.0,2013-03-24 10:46:27,,,,,
1.0,2013-03-24 10:02:17,,,,,
2.0,2013-03-24 09:53:54,,,,,
6.0,2013-03-24 10:13:32,,,,,
1.0,2013-03-24 10:31:52,,,,,
,2013-03-27 23:51:30,cs189,1.0,1.0,3.0,"43.7056123,-72.28333363"
,2013-03-29 02:30:39,cs77,1.0,4.0,2.0,"43.70562144,-72.28290055"
,2013-03-29 22:14:30,cs165,1.0,3.0,2.0,"43.70554669,-72.28317492"
,2013-04-01 19:09:15,cs,1.0,3.0,6.0,"43.70807671,-72.28484292"
,2013-04-02 00:30:23,cs65,1.0,3.0,4.0,"43.70535878,-72.28320481"
,2013-04-03 00:43:24,cocs77,1.0,4.0,2.0,"43.70543754,-72.28338833"
,2013-04-03 22:51:59,cocs 165,1.0,3.0,5.0,"43.7050465,-72.28312759"
,2013-04-05 00:03:36,cs 65,1.0,3.0,1.0,"43.70517326,-72.28657854"
,2013-04-05 00:04:03,cs 77,1.0,1.0,2.0,"43.70517326,-72.28657854"
,2013-04-05 19:39:13,cocs65,1.0,3.0,3.0,"43.70573813,-72.28325543"
,2013-04-09 00:07:24,cocs 65,1.0,3.0,4.0,"43.70649413,-72.28369421"
,2013-04-11 00:16:56,cocs 165,2.0,3.0,4.0,"43.7056173,-72.2833203"
,2013-04-10 02:35:40,cs 77,1.0,1.0,1.0,"43.7056173,-72.2833203"
,2013-04-12 00:00:32,cs65,1.0,3.0,1.0,"43.70534736,-72.2832336"
,2013-04-13 00:05:15,cocs 65,1.0,3.0,5.0,"43.7054476,-72.28326768"
,2013-04-18 00:06:20,cocs65,1.0,1.0,4.0,"43.70548559,-72.28326031"
