course_id,due,experience,hours,location,resp_time,null
cs 50,2.0,3.0,3.0,"43.7086476,-72.28468996",2013-03-30 00:21:03,
,,,,,2013-03-24 10:50:40,1
,,,,,2013-03-24 10:50:38,8
,,,,,2013-03-24 10:50:36,vc
,,,,,2013-03-24 10:50:35,vvb
,,,,,2013-03-24 10:50:42,1
CS50,2.0,3.0,1.0,"43.70296715,-72.29077311",2013-03-27 22:03:58,
nas35,2.0,1.0,1.0,"43.70297565,-72.29074642",2013-03-27 22:03:40,
cs65,2.0,1.0,1.0,"43.70466197,-72.28980065",2013-03-27 19:02:35,
cs65,2.0,3.0,1.0,"43.70399272,-72.29051569",2013-03-29 01:20:26,
cs65,2.0,3.0,1.0,"43.70399272,-72.29051569",2013-03-28 22:45:33,
cs65,2.0,3.0,3.0,"43.70414927,-72.29076226",2013-03-29 19:04:54,
nas 35,2.0,1.0,2.0,"43.7086476,-72.28468996",2013-03-30 00:20:48,
nas 35,2.0,1.0,1.0,"43.7040117,-72.29030024",2013-04-01 22:52:16,
cs 50,1.0,4.0,5.0,"43.7040117,-72.29030024",2013-04-01 22:52:35,
cs65,2.0,1.0,1.0,"43.7040117,-72.29030024",2013-04-01 22:52:03,
cs65,2.0,4.0,2.0,"43.70594306,-72.28855419",2013-04-04 01:15:37,
cs50,2.0,3.0,4.0,"43.70594306,-72.28855419",2013-04-04 01:16:02,
nas35,1.0,3.0,1.0,"43.70594306,-72.28855419",2013-04-04 01:15:49,
cs65,2.0,1.0,1.0,"43.70426694,-72.29029645",2013-04-05 02:01:18,
cs 65,2.0,1.0,1.0,"43.70405335,-72.29024681",2013-04-05 20:06:13,
cs65,2.0,1.0,2.0,"43.70594129,-72.28861531",2013-04-08 21:44:49,
cs50,1.0,3.0,9.0,"43.70594129,-72.28861531",2013-04-08 21:45:02,
nas35,2.0,1.0,2.0,"43.70594129,-72.28861531",2013-04-08 21:45:11,
cs50,2.0,1.0,1.0,"43.70458274,-72.29070844",2013-04-11 00:07:20,
nas35,2.0,1.0,1.0,"43.70458274,-72.29070844",2013-04-11 00:07:14,
cs65,2.0,3.0,3.0,"43.70458274,-72.29070844",2013-04-11 00:07:06,
cs50,2.0,3.0,3.0,"43.70414838,-72.29074049",2013-04-12 23:24:59,
cs65,2.0,3.0,1.0,"43.70387136,-72.29028439",2013-04-12 00:00:28,
nas35,2.0,3.0,1.0,"43.70414838,-72.29074049",2013-04-12 23:25:07,
cs6 5,2.0,3.0,1.0,"43.70426635,-72.29067159",2013-04-18 22:53:34,
cs50,2.0,3.0,8.0,"43.70433388,-72.29020625",2013-05-08 22:24:26,
