course_id,due,experience,hours,location,resp_time
cs19p,2,1,1,"43.70625659,-72.28331991",2013-03-27 04:11:30
cs65,2,3,1,"43.70596359,-72.28323862",2013-03-30 00:00:48
cs65,2,3,1,"43.70615493,-72.28340848",2013-04-03 22:05:36
cs65,1,1,1,"43.70610853,-72.28322264",2013-04-02 01:57:17
cs65,2,1,1,"43.70611302,-72.28322474",2013-04-04 22:31:46
cs65,2,1,2,"43.70628761,-72.28362471",2013-04-05 22:30:15
cs65,2,4,1,"43.70614426,-72.28328189",2013-04-09 00:30:33
cs65,1,3,1,"43.69957825,-72.289953",2013-04-11 00:13:48
cs65,1,3,3,"43.70624531,-72.28357164",2013-04-13 00:13:36
cs65,1,3,1,"43.70839358,-72.2822233",2013-04-16 01:59:55
cs65,1,1,1,"43.63183255,-72.21036324",2013-04-12 00:07:53
cs65,1,1,5,"43.70645524,-72.28313281",2013-04-18 04:13:06
cs65,1,3,4,Unknown,2013-04-18 17:49:49
cs 65,1,1,4,"43.70616591,-72.28331609",2013-04-19 19:38:12
cs 65,1,2,1,"43.70616591,-72.28331609",2013-04-20 01:01:23
cs65,2,1,3,"43.70607199,-72.28334176",2013-04-26 20:35:45
cs65,1,4,4,"43.70650819,-72.28202974",2013-04-22 19:41:12
cs65,1,4,3,"43.70623696,-72.28307342",2013-04-23 06:04:11
cs65,1,5,1,"43.70593948,-72.28355406",2013-04-24 23:00:17
cs65,1,4,5,"43.70615356,-72.28330165",2013-04-26 07:03:33
cs65,1,2,2,"43.70617687,-72.2833926",2013-05-11 02:00:19
cs65,1,1,6,"43.70618048,-72.28338783",2013-05-28 07:44:42
