course_id,due,experience,hours,location,resp_time
CS7,2,1,3,"43.70397214,-72.29027069",2013-04-03 22:58:16
CS65,2,3,2,"43.70572549,-72.29076597",2013-04-03 19:06:28
Linguistics 11,2,4,3,"43.70601645670831,-72.28864909149706",2013-03-27 03:42:42
CS 65,2,2,2,"43.70151604525745,-72.2881496977061",2013-03-28 00:42:54
CS 65,2,3,1,"43.702606027945876,-72.2895226534456",2013-03-29 00:39:07
German 1,1,2,4,"43.702606027945876,-72.2895226534456",2013-03-28 21:44:35
German 1,1,2,3,Unknown,2013-03-30 00:01:57
German 1 Drill,2,3,2,"43.70382381,-72.28721012",2013-04-02 16:50:27
CS 7,1,1,3,"43.70351572,-72.28960285",2013-04-01 23:50:49
German 1,2,2,3,"43.7055138,-72.28774539",2013-04-01 17:54:28
CS 65,1,3,2,"43.7055138,-72.28774539",2013-04-01 19:05:54
German 1 Drill,2,3,1,"43.7052892,-72.28791432",2013-04-01 17:54:28
German 1,1,3,3,"43.70348925,-72.28865624",2013-04-02 21:07:55
German 1,1,3,3,"43.7035497,-72.28791333",2013-04-04 17:59:04
German 1 Drill,2,2,2,"43.70389361,-72.28722817",2013-04-04 16:57:50
sexperts,1,2,2,"43.70307048,-72.29134056",2013-04-05 00:07:23
cs7,2,1,3,"43.70307048,-72.29134056",2013-04-05 00:07:09
German 1 Drill,2,3,2,"43.706564088352025,-72.2880931198597",2013-04-05 00:42:07
German 1,1,3,3,"43.70640328153968,-72.28827752172947",2013-04-05 00:42:25
German 1 Drill,2,2,2,"43.70410232339054,-72.28721008636057",2013-04-05 16:52:48
CS 65,2,1,1,"43.70551232714206,-72.29069134220481",2013-04-05 23:42:59
CS 7,1,1,5,"43.705377923324704,-72.2905449103564",2013-04-05 23:43:14
German 1,1,3,3,"43.7052727304399,-72.28970169089735",2013-04-05 23:42:39
German 1,1,3,3,"43.705853219144046,-72.2873000241816",2013-04-08 17:56:45
CS65,1,3,4,"43.70876152999699,-72.28423618711531",2013-04-08 19:04:25
