null,resp_time,course_id,due,experience,hours,location
Unknown,2013-03-24 10:17:22,,,,,
2,2013-03-24 10:29:40,,,,,
1,2013-03-24 10:05:09,,,,,
1,2013-03-24 10:43:35,,,,,
Unknown,2013-03-24 09:53:14,,,,,
,2013-03-29 21:32:40,cs189 photo forensics,2.0,3.0,5.0,"43.70789343,-72.28376628"
,2013-03-29 00:02:31,cs165,2.0,3.0,2.0,"43.70549989,-72.28295873"
,2013-03-30 01:54:31,cs165,2.0,3.0,2.0,"43.70560193,-72.28316177"
,2013-04-02 22:43:49,no class today,2.0,1.0,1.0,Unknown
,2013-04-04 23:49:39,cs165,2.0,3.0,11.0,"43.70576878,-72.28345137"
,2013-04-05 22:59:18,cs166,2.0,3.0,1.0,"43.70652295,-72.28353758"
,2013-04-05 22:59:55,cs189,2.0,3.0,6.0,"43.70652295,-72.28353758"
,2013-04-09 09:06:44,cs 165,1.0,3.0,2.0,"43.70559102,-72.283134"
,2013-04-18 01:52:22,cs 189,2.0,4.0,1.0,Unknown
,2013-04-10 05:42:09,no class today,2.0,1.0,1.0,"43.70654535,-72.28726046"
,2013-04-11 12:26:46,cs189,2.0,2.0,1.0,"43.7059594,-72.28323398"
,2013-04-16 01:15:24,cs 189,2.0,1.0,1.0,"43.70369939,-72.29013585"
,2013-04-21 23:08:46,cs189,2.0,4.0,3.0,"43.69337144,-72.27322384"
,2013-04-21 23:08:48,no class today ,2.0,1.0,1.0,"43.01160902,-71.43617088"
,2013-04-24 00:00:40,no class today,2.0,1.0,1.0,"43.70728698,-72.28382947"
,2013-04-24 23:29:31,class canceled,2.0,1.0,1.0,"43.70574235,-72.28345072"
,2013-05-22 23:53:19,cs189,2.0,3.0,6.0,"43.70752387,-72.28352353"
