null,resp_time,course_id,due,experience,hours,location
3,2013-03-24 09:47:29,,,,,
3,2013-03-24 10:37:23,,,,,
gg,2013-03-24 10:37:13,,,,,
3,2013-03-24 10:37:25,,,,,
vc,2013-03-24 10:41:59,,,,,
,2013-03-29 00:03:49,CS65,2.0,1.0,2.0,Unknown
,2013-03-30 00:31:05,CS65,2.0,3.0,3.0,"43.70360724,-72.29640518"
,2013-03-31 02:42:50,ENGS93,2.0,1.0,1.0,"43.7037725,-72.29602645"
,2013-04-03 22:09:25,ENGS93,1.0,1.0,6.0,"43.70799826,-72.28495732"
,2013-04-03 22:56:06,ENGS25,1.0,3.0,5.0,"43.70799826,-72.28495732"
,2013-04-01 19:05:36,CS65,1.0,1.0,1.0,"43.70857509,-72.28453841"
,2013-04-02 01:22:58,ENGS93,2.0,4.0,1.0,"43.70455321,-72.29195283"
,2013-04-02 01:23:09,ENGS25,2.0,3.0,1.0,"43.70371798,-72.29605868"
,2013-04-03 22:09:04,CS65,2.0,3.0,3.0,"43.70799826,-72.28495732"
,2013-04-04 21:57:46,CS65,2.0,3.0,1.0,"43.70378631,-72.29590104"
,2013-04-05 23:02:17,ENGS25,2.0,3.0,1.0,"43.7058539,-72.28945952"
,2013-04-05 22:03:28,ENGS93,2.0,3.0,1.0,"43.70148828,-72.28937515"
,2013-04-05 19:16:57,CS65,2.0,3.0,2.0,"43.70274179,-72.28911003"
,2013-04-08 19:29:40,CS65,1.0,2.0,11.0,"43.70711139,-72.28597263"
,2013-04-08 23:10:13,ENGS25,2.0,4.0,1.0,"43.70487736,-72.29204865"
,2013-04-08 21:31:05,ENGS93,2.0,1.0,2.0,"43.70220819,-72.28927939"
,2013-04-15 20:33:04,CS65,1.0,3.0,10.0,"43.70369666,-72.29597969"
,2013-04-10 22:10:18,ENGS93,1.0,1.0,7.0,"43.70332015,-72.29598121"
,2013-04-10 23:07:50,ENGS25,1.0,1.0,10.0,"43.70589943,-72.28947338"
,2013-04-12 23:08:03,ENGS25,1.0,4.0,3.0,"43.70403496,-72.2946836"
,2013-04-10 20:03:41,CS65,2.0,1.0,3.0,"43.70332015,-72.29598121"
,2013-04-11 20:56:22,CS65,2.0,3.0,3.0,"43.70730744,-72.28556254"
,2013-04-12 21:36:40,ENGS93,2.0,3.0,2.0,"43.70368617,-72.29580241"
,2013-04-15 23:11:35,ENGS25,2.0,3.0,1.0,"43.70369666,-72.29597969"
,2013-04-15 22:36:04,ENGS93,2.0,4.0,1.0,"43.70369666,-72.29597969"
,2013-04-17 20:40:06,CS65,2.0,3.0,1.0,"43.70342539,-72.29594334"
,2013-04-17 23:40:12,ENGS93,1.0,4.0,7.0,"43.70351032,-72.29612362"
,2013-04-17 23:40:23,ENGS25,2.0,1.0,1.0,"43.70351032,-72.29612362"
,2013-04-18 20:55:35,CS65,2.0,3.0,2.0,"43.70746347,-72.28509434"
,2013-04-18 20:55:10,CS65,2.0,3.0,2.0,"43.70746347,-72.28509434"
,2013-04-19 21:34:33,ENGS93,2.0,3.0,2.0,"43.70397174,-72.29553785"
,2013-04-19 22:49:22,ENGS25,1.0,1.0,6.0,"43.70397174,-72.29553785"
,2013-04-30 07:22:06,ENGS25,2.0,1.0,1.0,"43.70489616,-72.29364769"
,2013-04-30 07:21:50,ENGS93,2.0,1.0,1.0,"43.70497176,-72.29340555"
,2013-05-13 22:27:40,ENGS93,2.0,4.0,5.0,"43.70416591,-72.29582511"
,2013-05-04 06:21:12,ENGS25,2.0,4.0,5.0,"43.70583433,-72.28880318"
,2013-05-04 06:21:11,ENGS93,1.0,3.0,8.0,"43.70583433,-72.28880318"
,2013-05-13 22:27:25,CS65,2.0,3.0,5.0,"43.70416591,-72.29582511"
,2013-05-30 02:21:30,CS65,1.0,3.0,12.0,Unknown
