null,resp_time,course_id,due,experience,hours,location
1,2013-03-24 10:37:45,,,,,
,2013-04-02 00:08:57,cs65,1.0,3.0,1.0,"43.70505982,-72.2892041"
vvf,2013-03-24 10:37:50,,,,,
1,2013-03-24 10:37:46,,,,,
ggv,2013-03-24 10:37:48,,,,,
1,2013-03-24 10:42:57,,,,,
,2013-03-27 23:02:29,CS 6,2.0,3.0,1.0,Unknown
,2013-03-28 02:56:53,cs 65,2.0,3.0,2.0,Unknown
,2013-03-29 02:33:47,cs 77 cs 85,2.0,3.0,4.0,Unknown
,2013-04-04 23:41:24,cs65 cs77,2.0,1.0,12.0,"43.70550912,-72.28316809"
,2013-04-11 00:31:25,cs65,2.0,1.0,5.0,"43.70542431,-72.28320441"
,2013-04-13 00:10:22,"cs65
",2.0,1.0,1.0,"43.70595737,-72.28353965"
,2013-04-12 00:01:39,cs65,2.0,2.0,5.0,"43.70527536,-72.28314925"
