null,resp_time,course_id,due,experience,hours,location
gcc,2013-03-24 09:48:29,,,,,
1,2013-03-24 10:51:13,,,,,
"43.70526969,-72.28873061",2013-03-24 10:51:10,,,,,
tfx,2013-03-24 10:51:14,,,,,
1,2013-03-24 10:51:11,,,,,
,2013-04-04 00:50:56,CS65,2.0,1.0,3.0,"43.70797014,-72.28385447"
,2013-04-02 10:42:52,cs65,1.0,2.0,5.0,"43.70714984,-72.2865919"
,2013-04-03 08:22:10,cs77,1.0,1.0,4.0,"43.70526192,-72.28667636"
,2013-04-12 02:33:41,cs65,2.0,3.0,2.0,"43.70804291,-72.28498053"
,2013-04-11 00:49:15,cs65,2.0,3.0,5.0,"43.70788803,-72.28458844"
,2013-04-13 00:12:18,cs65,2.0,1.0,4.0,"43.70804117,-72.28498155"
