null,resp_time,course_id,due,experience,hours,location
gg,2013-03-24 09:56:10,,,,,
,2013-03-31 23:50:37,"cs65
",2.0,1.0,3.0,"43.70545024,-72.28315791"
"43.7065429,-72.28689776",2013-03-24 10:47:02,,,,,
1,2013-03-24 10:46:57,,,,,
1,2013-03-24 10:47:01,,,,,
1,2013-03-24 10:46:58,,,,,
,2013-03-27 18:47:54,cs65,2.0,3.0,10.0,"43.70549189,-72.28323121"
,2013-03-31 23:50:40,cs57 cs65,2.0,1.0,2.0,"43.70535793,-72.28311321"
,2013-03-31 23:50:33,"cs57 cs65
",2.0,2.0,8.0,"43.70531971,-72.28309652"
,2013-04-06 16:10:28,cs65 cs57,2.0,2.0,5.0,"43.70526542,-72.28302405"
,2013-04-09 00:06:31,cs57 cs65,1.0,1.0,12.0,"43.7054001,-72.28311069"
,2013-04-10 18:18:36,cs165,2.0,1.0,12.0,"43.70513656,-72.2831101"
,2013-04-18 07:50:55,cs57,2.0,3.0,11.0,"43.70527048,-72.2830645"
