null,resp_time,course_id,due,experience,hours,location
try,2013-03-24 09:52:11,,,,,
"43.70514469,-72.28850985",2013-03-24 10:50:32,,,,,
1,2013-03-24 10:50:34,,,,,
1,2013-03-24 10:50:35,,,,,
y,2013-03-24 10:50:38,,,,,
,2013-04-09 01:32:43,no class,2.0,1.0,1.0,"43.01433773,-72.34858847"
,2013-04-11 00:44:51,n/a,2.0,1.0,1.0,"43.7167643,-72.3092846"
,2013-04-10 00:18:56,I'm not taking any classes,2.0,1.0,1.0,"43.71653168,-72.30894632"
,2013-04-12 05:01:51,n/a,2.0,1.0,1.0,"43.71657251,-72.30919906"
,2013-04-13 00:58:39,n/a,2.0,1.0,1.0,"43.71190002,-72.30815066"
,2013-04-14 02:21:32,n/a,2.0,1.0,1.0,"43.71644852,-72.30936993"
,2013-04-18 19:41:50,na,2.0,1.0,1.0,"43.71663112,-72.309151"
,2013-04-20 01:02:05,no class,2.0,1.0,1.0,"43.70309359,-72.28791234"
