duration,enjoy,location,resp_time
7,3,"43.70466963,-72.28690138",2013-04-23 23:02:13
1,3,"43.70440204,-72.29052256",2013-04-25 00:57:17
2,5,"43.70354089,-72.28669464",2013-04-25 21:55:51
3,3,"43.70295661,-72.28995533",2013-04-27 00:30:44
11,3,"43.70708811,-72.28767562",2013-05-01 09:19:34
11,3,"43.7052922,-72.2885156",2013-05-01 19:01:23
6,3,"43.7049437,-72.28880281",2013-05-07 03:53:10
1,4,"43.7037094,-72.28660102",2013-05-05 09:20:16
2,4,"43.70343934,-72.28739154",2013-05-12 21:09:57
1,5,"43.70454326,-72.2895076",2013-05-09 21:58:47
1,5,"43.70527997,-72.2896421",2013-05-11 21:22:49
1,5,"43.70523073,-72.29167173",2013-05-10 21:34:14
